ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx
10025,10025,10025,10025.0,10025 Upper West Side (Manhattan),134.0,134.0,76
10002,10002,10002,10002.0,10002 Union Square - Lower East Side (Manhattan),121.0,121.0,96
10029,10029,10029,10029.0,10029 East Harlem (Manhattan),108.0,108.0,72
11234,11234,11234,11234.0,11234 Canarsie - Flatlands (Brooklyn),99.0,99.0,49
11226,11226,11226,11226.0,11226 East Flatbush - Flatbush (Brooklyn),92.0,92.0,48
11206,11206,11206,11206.0,11206 Williamsburg - Bushwick (Brooklyn),75.0,75.0,59
10453,10453,10453,10453.0,10453 Crotona -Tremont (Bronx),73.0,73.0,15
10473,10473,10473,10473.0,10473 Pelham - Throgs Neck (Bronx),66.0,66.0,14
11220,11220,11220,11220.0,11220 Sunset Park (Brooklyn),57.0,57.0,39
11375,11375,11375,11375.0,11375 Ridgewood - Forest Hills (Queens),40.0,40.0,131
11451,11433,11451,11451.0,,,38.0,148
11433,11433,11433,11433.0,11433 Jamaica (Queens),38.0,38.0,148
10304,10304,10304,10304.0,10304 Stapleton - St. George (Staten Island),33.0,33.0,169
11101,11101,11101,11101.0,11101 Long Island City - Astoria (Queens),33.0,33.0,106
10119,10001,10119,10119.0,,,22.0,84
10199,10001,10199,10199.0,,,22.0,84
10001,10001,10001,10001.0,10001 Chelsea - Clinton (Manhattan),22.0,22.0,84
11420,11420,11420,11420.0,11420 Southwest Queens (Queens),20.0,20.0,143
10271,10005,10271,10271.0,10271 Lower Manhattan (Manhattan),1.0,19.0,100
10302,10302,10302,10302.0,10302 Port Richmond (Staten Island),19.0,19.0,165
10005,10005,10005,10005.0,10005 Lower Manhattan (Manhattan),18.0,19.0,100
10003,10003,10003,10003.0,10003 Union Square - Lower East Side (Manhattan),14.0,14.0,97
10279,10007,10279,10279.0,10279 Lower Manhattan (Manhattan),1.0,13.0,102
10007,10007,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102
10278,10007,10278,10278.0,,,13.0,102
10009,10009,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98
