zip_code,zip_str,UHF_id,UHF_name
10025,10025,304,Upper West Side
10002,10002,309,Union Square - Lower East Side
10029,10029,303,East Harlem
11234,11234,208,Canarsie - Flatlands
11226,11226,207,East Flatbush - Flatbush
11206,11206,211,Williamsburg - Bushwick
10453,10453,105,Crotona -Tremont
10473,10473,104,Pelham - Throgs Neck
11220,11220,205,Sunset Park
11375,11375,405,Ridgewood - Forest Hills
11433,11433,408,Jamaica
10304,10304,502,Stapleton - St. George
11101,11101,401,Long Island City - Astoria
10001,10001,306,Chelsea - Clinton
11420,11420,407,Southwest Queens
10302,10302,501,Port Richmond
10005,10005,310,Lower Manhattan
10003,10003,309,Union Square - Lower East Side
10009,10009,309,Union Square - Lower East Side
10007,10007,310,Lower Manhattan
10004,10004,310,Lower Manhattan
10032,10032,301,Washington Heights
10006,10006,310,Lower Manhattan
10012,10012,308,Greenwich Village - SoHo
10011,10011,306,Chelsea - Clinton
10014,10014,308,Greenwich Village - SoHo
11203,11203,207,East Flatbush - Flatbush
11207,11207,204,East New York
11209,11209,209,Bensonhurst - Bay Ridge
11236,11236,208,Canarsie - Flatlands
10040,10040,301,Washington Heights
10467,10467,103,Fordham - Bronx Pk
10010,10010,307,Gramercy Park - Murray Hill
10024,10024,304,Upper West Side
10452,10452,106,High Bridge - Morrisania
11217,11217,202,Downtown - Heights - Slope
11225,11225,207,East Flatbush - Flatbush
11692,11692,410,Rockaways
10013,10013,308,Greenwich Village - SoHo
10021,10021,305,Upper East Side
10023,10023,304,Upper West Side
10455,10455,107,Hunts Point - Mott Haven
10456,10456,106,High Bridge - Morrisania
10457,10457,105,Crotona -Tremont
10475,10475,102,Northeast Bronx
11208,11208,204,East New York
11210,11210,207,East Flatbush - Flatbush
11216,11216,203,Bedford Stuyvesant - Crown Heights
11221,11221,211,Williamsburg - Bushwick
11238,11238,203,Bedford Stuyvesant - Crown Heights
11412,11412,408,Jamaica
11435,11435,408,Jamaica
10018,10018,306,Chelsea - Clinton
10027,10027,302,Central Harlem - Morningside Heights
10030,10030,302,Central Harlem - Morningside Heights
10034,10034,301,Washington Heights
10111,10111,306,Chelsea - Clinton
10310,10310,501,Port Richmond
10312,10312,504,South Beach - Tottenville
10458,10458,103,Fordham - Bronx Pk
10462,10462,104,Pelham - Throgs Neck
10463,10463,101,Kingsbridge - Riverdale
10466,10466,102,Northeast Bronx
10468,10468,103,Fordham - Bronx Pk
10469,10469,102,Northeast Bronx
10472,10472,104,Pelham - Throgs Neck
11103,11103,401,Long Island City - Astoria
11212,11212,203,Bedford Stuyvesant - Crown Heights
11213,11213,203,Bedford Stuyvesant - Crown Heights
11218,11218,206,Borough Park
11223,11223,210,Coney Island - Sheepshead Bay
11228,11228,209,Bensonhurst - Bay Ridge
11229,11229,210,Coney Island - Sheepshead Bay
11231,11231,202,Downtown - Heights - Slope
11235,11235,210,Coney Island - Sheepshead Bay
11239,11239,208,Canarsie - Flatlands
11373,11373,402,West Queens
11374,11374,405,Ridgewood - Forest Hills
11415,11415,407,Southwest Queens
11694,11694,410,Rockaways
10019,10019,306,Chelsea - Clinton
10020,10020,306,Chelsea - Clinton
10026,10026,302,Central Harlem - Morningside Heights
10028,10028,305,Upper East Side
10033,10033,301,Washington Heights
10035,10035,303,East Harlem
10037,10037,302,Central Harlem - Morningside Heights
10039,10039,301,Washington Heights
10044,10044,305,Upper East Side
10065,10065,305,Upper East Side
10069,10069,304,Upper West Side
10103,10103,306,Chelsea - Clinton
10112,10112,306,Chelsea - Clinton
10115,10115,302,Central Harlem - Morningside Heights
10128,10128,305,Upper East Side
10152,10152,307,Gramercy Park - Murray Hill
10162,10162,305,Upper East Side
10169,10169,307,Gramercy Park - Murray Hill
10170,10170,307,Gramercy Park - Murray Hill
10271,10271,310,Lower Manhattan
10279,10279,310,Lower Manhattan
10282,10282,310,Lower Manhattan
10301,10301,502,Stapleton - St. George
10303,10303,501,Port Richmond
10305,10305,502,Stapleton - St. George
10306,10306,504,South Beach - Tottenville
10311,10311,503,Willowbrook
10314,10314,503,Willowbrook
10454,10454,107,Hunts Point - Mott Haven
10459,10459,107,Hunts Point - Mott Haven
10461,10461,104,Pelham - Throgs Neck
10464,10464,104,Pelham - Throgs Neck
10470,10470,103,Fordham - Bronx Pk
10474,10474,107,Hunts Point - Mott Haven
11102,11102,401,Long Island City - Astoria
11104,11104,401,Long Island City - Astoria
11106,11106,401,Long Island City - Astoria
11109,11109,401,Long Island City - Astoria
11201,11201,202,Downtown - Heights - Slope
11215,11215,202,Downtown - Heights - Slope
11222,11222,201,Greenpoint
11224,11224,210,Coney Island - Sheepshead Bay
11230,11230,206,Borough Park
11232,11232,205,Sunset Park
11237,11237,211,Williamsburg - Bushwick
11351,11351,403,Flushing - Clearview
11367,11367,406,Fresh Meadows
11377,11377,402,West Queens
11385,11385,405,Ridgewood - Forest Hills
11417,11417,407,Southwest Queens
11422,11422,409,Southeast Queens
11423,11423,408,Jamaica
11427,11427,409,Southeast Queens
11428,11428,409,Southeast Queens
11434,11434,408,Jamaica
11436,11436,408,Jamaica
11691,11691,410,Rockaways
