"UHF_id","total_population","total_no_health_insurance","total_bachelor","total_householdincome","total_householdnum","total_no_vehicles","total_ageunder25","total_age25to29","total_age30to34","total_age35to44","total_age45to54","total_age55to64","total_age_above65","total_employment"
101,73256,3199,11198,63048,30201,14140,20880,4757,4476,8785,9707,9350,15301,28773
102,195566,12958,22251,189660,67139,26507,58941,14310,13194,22228,25617,26638,34638,80563
103,287892,26050,21693,191652,101472,67093,104438,25931,22081,37336,35454,31445,31207,116046
104,262659,19805,26731,324033,95123,47297,85319,21810,20514,33451,32877,30224,38464,104204
105,159836,14995,10632,72926,53546,38609,62103,13353,12210,20758,19342,17643,14427,59592
106,170152,13990,10024,65043,59658,46609,65138,13378,13136,22597,20545,18680,16678,61863
107,144304,12893,8999,122375,51034,36489,55107,11849,11419,19207,16937,15558,14227,51729
201,39669,3005,13780,110385,18636,11358,7112,5206,7606,8736,3684,3295,4030,24972
202,224614,7179,60079,560119,95269,57429,58543,20898,26672,44645,28855,20291,24710,121406
203,268495,16080,48588,278717,109807,75705,71978,30154,29954,40020,32656,30875,32858,127033
204,205414,11363,15949,95295,67547,40878,72671,16810,15134,28275,23431,23591,25502,78710
205,122085,14861,13706,134077,36694,22795,37618,9739,12218,19194,16277,12895,14144,54940
206,168159,10792,26789,142874,57810,27323,58394,11676,12267,22345,19966,18356,25155,67133
207,304594,23084,47053,273507,112459,64161,85956,28013,27565,41667,36778,36912,47703,141229
208,212409,12008,28971,193483,74218,25079,63558,13478,13207,26702,26828,30393,38243,89394
209,118205,6506,23681,161334,45635,18222,30933,8414,9172,16435,15269,16133,21849,53084
210,302072,18256,50084,222267,112471,50128,86915,18639,19272,34829,36268,41973,64176,115285
211,231221,19384,38290,181844,82622,55152,76285,32620,25783,32019,23810,19058,21646,110840
301,237638,19580,37563,295404,85853,65785,61457,24672,22434,35364,31473,27690,34548,111261
302,156226,8979,26263,215089,61705,47297,47391,17491,13872,23312,19531,15930,18699,70489
303,114703,8240,14784,66456,47374,39511,32291,10619,9367,16912,14422,13325,17767,43907
304,232499,7373,58028,575904,109024,79178,52338,20268,21128,33503,28348,29448,47466,111098
305,194117,5644,54870,780697,97687,69048,39015,18565,21466,26935,23891,22676,41569,99035
306,130885,4015,44024,476747,74433,61250,21038,16247,17816,20790,16599,16822,21573,77469
307,33193,979,9743,131635,16207,11764,8532,3939,3225,5272,3720,3044,5461,18090
308,81647,2862,29830,391712,41983,33019,16311,10196,9593,13045,10180,9036,13286,46596
309,191254,8112,50006,252177,89325,71963,45434,22885,20608,23340,20325,24747,33915,91807
310,32070,653,11731,1113743,14769,11610,8074,4714,4408,6374,5460,1770,1270,20859
401,172336,11622,44776,591007,76742,47482,37670,21667,24613,32112,20160,16351,19763,96857
402,187359,21953,29847,128397,63857,33826,49055,14803,16609,30807,25741,22734,27610,90880
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,232221,18698,46800,252892,90087,39969,60055,18872,20638,33328,30884,31571,36873,112810
406,42362,2356,7063,71469,14568,4495,13809,3168,2646,5094,5122,4573,7950,17064
407,105418,8208,12820,247885,31448,8440,31073,8565,8147,12804,14906,15815,14108,47341
408,262675,19827,30289,447814,79520,23599,80024,20871,19287,32953,34895,36575,38070,115161
409,81137,4539,11601,263362,24459,4487,21772,6060,5787,9432,10916,11939,15231,35549
410,117868,8538,12508,197018,37999,14269,42743,7639,6563,13717,14388,15153,17665,43181
501,71589,4588,8310,239967,23054,5431,24733,5188,4968,9797,8641,9909,8353,29795
502,127116,6521,18039,219425,45437,11076,37500,9732,8333,15850,17534,17846,20321,53541
503,93736,3380,15608,94578,31761,3309,27076,6389,6203,11319,12713,12447,17589,38460
504,119740,3614,17696,189562,41528,4319,35944,6913,7746,14702,16651,16307,21477,50263
