UHF_id,median_td_score_slr,median_ag_score_slr,median_los_score_slr,median_td_score_gwr,median_ag_score_gwr,median_los_score_gwr
101,66.89,67.49,59.77,65.62,65.13,65.1
102,68.95,63.36,64.47,65.62,65.13,65.1
103,67.57,60.01,63.21,65.62,65.13,65.1
104,68.75,61.76,66.67,68.75,61.76,66.67
105,68.75,64.71,66.67,68.75,64.71,66.67
106,72.76,63.28,60.42,65.62,65.13,65.12
107,67.9,63.51,61.03,65.62,65.14,65.1
201,60.95,62.15,68.65,68.64,68.15,51.2
202,72.55,64.51,68.89,68.64,68.15,51.2
203,69.12,62.71,62.88,68.67,68.15,51.19
204,79.85,64.26,65.44,68.67,68.15,51.19
205,62.5,64.71,58.34,62.5,64.71,58.34
206,71.18,71.4,67.21,68.99,68.41,54.47
207,68.75,63.24,66.67,68.75,63.24,66.67
208,68.75,63.24,66.67,68.75,63.24,66.67
209,62.14,67.31,63.75,62,59.57,56.87
210,64.45,72.41,59.98,68.37,70.31,51.88
211,68.75,61.76,66.67,68.75,61.76,66.67
301,65.62,64.71,66.67,65.62,64.71,66.67
302,72.86,65.42,61.46,62.48,62.66,49.6
303,68.75,67.65,50,68.75,67.65,50
304,68.75,67.65,58.34,68.75,67.65,58.34
305,63.9,66.75,53.09,62.49,62.66,49.6
306,62.5,61.02,50,62.5,61.02,50
307,63.46,61.67,55.32,56.95,59.32,63.01
308,60.52,69.85,55.41,56.55,63.94,59.56
309,68.75,73.53,50,68.75,73.53,50
310,62.5,62.5,50,62.5,62.5,50
401,56.25,57.35,66.67,56.25,57.35,66.67
402,59.31,62.97,63.44,68.67,64.06,68.48
403,45.25,62,60.09,68.67,64.06,68.48
404,55.9,65.96,64.79,68.67,64.06,68.48
405,56.25,63.24,66.67,56.25,63.24,66.67
406,62.81,65.78,66.98,68.62,64.05,68.5
407,68.75,66.18,66.67,68.75,66.18,66.67
408,68.75,61.76,66.67,68.75,61.76,66.67
409,71.16,65.18,67.23,68.77,64.66,68.05
410,66.67,67.61,64.62,68.87,64.66,68.1
501,62.5,61.76,66.67,62.5,61.76,66.67
502,68.75,61.76,66.67,68.75,61.76,66.67
503,69.57,67.01,70.81,62.51,61.2,69.79
504,71.65,61.51,71.76,68.62,62.49,67.42
