UHF_id,median_td_score_slr,median_ag_score_slr,median_los_score_slr,median_td_score_gwr,median_ag_score_gwr,median_los_score_gwr,mode_td_score_slr,mode_ag_score_slr,mode_los_score_slr,mode_td_score_gwr,mode_ag_score_gwr,mode_los_score_gwr
101,66.89,67.49,59.77,65.62,65.13,65.1,62.89,68.81,66.36,62.24,68.11,63.88
102,68.95,63.36,64.47,65.62,65.13,65.1,66.17,64.39,64.6,62.22,68.11,63.87
103,67.57,60.01,63.21,65.62,65.13,65.1,69.56,57.46,68.62,62.21,68.11,63.87
104,68.75,61.76,66.67,68.75,61.76,66.67,67.42,61.95,67.42,67.42,61.95,67.42
105,68.75,64.71,66.67,68.75,64.71,66.67,68.72,65.26,68.72,68.72,65.26,68.72
106,72.76,63.28,60.42,65.62,65.13,65.12,74.21,61.64,72.11,62.06,68.11,63.84
107,67.9,63.51,61.03,65.62,65.14,65.1,69.5,61.2,71.44,62.3,68.12,63.89
201,60.95,62.15,68.65,68.64,68.15,51.2,62.83,66.71,64.7,68.24,66.78,68.55
202,72.55,64.51,68.89,68.64,68.15,51.2,71.98,71.51,67.99,68.27,66.78,68.55
203,69.12,62.71,62.88,68.67,68.15,51.19,69.63,63.93,67.48,68.29,66.78,68.55
204,79.85,64.26,65.44,68.67,68.15,51.19,78.3,66.9,70.75,68.35,66.78,68.56
205,62.5,64.71,58.34,62.5,64.71,58.34,67.08,64.29,67.08,67.08,64.29,67.08
206,71.18,71.4,67.21,68.99,68.41,54.47,67.28,77.69,69.51,65.81,71.41,65.74
207,68.75,63.24,66.67,68.75,63.24,66.67,67.86,64.24,67.86,67.86,64.24,67.86
208,68.75,63.24,66.67,68.75,63.24,66.67,68.3,65.71,68.3,68.3,65.71,68.3
209,62.14,67.31,63.75,62,59.57,56.87,58.42,70.29,62.72,63.66,58.86,62.64
210,64.45,72.41,59.98,68.37,70.31,51.88,58.95,76.16,65.4,66.06,74.14,65.87
211,68.75,61.76,66.67,68.75,61.76,66.67,67.02,63.36,67.02,67.02,63.36,67.02
301,65.62,64.71,66.67,65.62,64.71,66.67,61.29,67.91,61.29,61.29,67.91,61.29
302,72.86,65.42,61.46,62.48,62.66,49.6,72.96,68.17,69.33,66.18,64.18,66.27
303,68.75,67.65,50,68.75,67.65,50,68.69,65.59,68.69,68.69,65.59,68.69
304,68.75,67.65,58.34,68.75,67.65,58.34,67.22,66.56,67.22,67.22,66.56,67.22
305,63.9,66.75,53.09,62.49,62.66,49.6,63.01,68.14,65.29,66.25,64.18,66.28
306,62.5,61.02,50,62.5,61.02,50,65.37,60.84,65.37,65.37,60.84,65.37
307,63.46,61.67,55.32,56.95,59.32,63.01,65.92,62.35,65.04,61.21,60.06,61.22
308,60.52,69.85,55.41,56.55,63.94,59.56,60.3,75.28,64.94,58.43,64.94,61.16
309,68.75,73.53,50,68.75,73.53,50,68.67,81.27,68.67,68.67,81.27,68.67
310,62.5,62.5,50,62.5,62.5,50,66.1,64.25,66.1,66.1,64.25,66.1
401,56.25,57.35,66.67,56.25,57.35,66.67,65.25,56.61,65.25,65.25,56.61,65.25
402,59.31,62.97,63.44,68.67,64.06,68.48,57.96,63.09,60.4,64.38,67.2,63.41
403,45.25,62,60.09,68.67,64.06,68.48,44.76,57.22,56.73,64.35,67.2,63.4
404,55.9,65.96,64.79,68.67,64.06,68.48,50.69,68.25,59.27,64.33,67.2,63.4
405,56.25,63.24,66.67,56.25,63.24,66.67,43.87,65.91,43.87,43.87,65.91,43.87
406,62.81,65.78,66.98,68.62,64.05,68.5,58.87,69.01,63.27,64.01,67.2,63.38
407,68.75,66.18,66.67,68.75,66.18,66.67,64.92,69.2,64.92,64.92,69.2,64.92
408,68.75,61.76,66.67,68.75,61.76,66.67,67,66.02,67,67,66.02,67
409,71.16,65.18,67.23,68.77,64.66,68.05,65.56,70.25,61.18,66.04,68.21,64.69
410,66.67,67.61,64.62,68.87,64.66,68.1,63.51,69.88,67.54,65.59,68.21,64.64
501,62.5,61.76,66.67,62.5,61.76,66.67,60.2,61.06,60.2,60.2,61.06,60.2
502,68.75,61.76,66.67,68.75,61.76,66.67,68.31,64.34,68.31,68.31,64.34,68.31
503,69.57,67.01,70.81,62.51,61.2,69.79,63.43,73.07,64.62,64.28,63.06,67.11
504,71.65,61.51,71.76,68.62,62.49,67.42,67.37,65.52,64.58,64.27,64.5,65.97
