UHF_id,UHF_name,ParticipantCount
104,Pelham - Throgs Neck,72
105,Crotona -Tremont,76
205,Sunset Park,58
207,East Flatbush - Flatbush,105
208,Canarsie - Flatlands,107
211,Williamsburg - Bushwick,79
301,Washington Heights,18
303,East Harlem,109
304,Upper West Side,142
306,Chelsea - Clinton,36
309,Union Square - Lower East Side,148
310,Lower Manhattan,52
401,Long Island City - Astoria,39
405,Ridgewood - Forest Hills,43
407,Southwest Queens,23
408,Jamaica,47
501,Port Richmond,22
502,Stapleton - St. George,35
